case_id,question,topic,difficulty,query_slice,relevant_publication_ids,relevant_pages,relevance_grade,expected_evidence,acceptable_abstention,created_by,reviewed_by,adjudication_status,notes,prior_case_id,prior_source_document,mapping_confidence,prior_keywords
gq-001,킬체인(Kill Chain)의 구성요소는 무엇인가?,WEAPON_SYSTEM,easy,exact_term,,,,킬체인은 탐지-식별-결심-타격의 4단계로 구성된다,no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW001,3축 체계 관련 문서,none,킬체인;Kill Chain;탐지;식별;결심;타격
gq-002,KAMD(한국형 미사일 방어체계)의 역할은?,WEAPON_SYSTEM,easy,exact_term,,,,KAMD는 북한 탄도미사일을 탐지하고 요격하는 다층방어체계,no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW002,3축 체계 관련 문서,none,KAMD;한국형 미사일 방어;탄도미사일;요격
gq-003,MUM-T(유무인복합체계)란 무엇인가?,AI_TECH,easy,exact_term,pub:kida:780ab1feb626e0554a8e217b5547378f,,3,MUM-T는 유인-무인 시스템이 협력하여 작전을 수행하는 미래 전투체계,no,,,draft,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고,KW003,2024_나상욱_유무인복합체계_MUM-T_발전방향에대한소고,exact,MUM-T;유무인복합체계;유인;무인;협력
gq-004,KMPR(대량응징보복)의 개념은?,SECURITY,easy,exact_term,,,,KMPR은 북한 핵공격 시 지도부를 포함한 대량응징보복 개념,no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW004,3축 체계 관련 문서,none,KMPR;대량응징보복;북한;핵공격
gq-005,NATO 조달체계의 특징은 무엇인가?,POLICY,medium,exact_term,pub:kida:4af0cacdfad4e0d5f9b7a55ec854c803,,3,NATO 조달체계는 동맹국 간 무기체계 상호운용성 확보를 위한 표준화된 조달 프로세스,no,,,draft,매핑: 2024_김지수_NATO조달체계란무엇이고어떻게접근할것인가,KW005,2024_김지수_NATO조달체계란무엇이고어떻게접근할것인가,exact,NATO;조달체계;상호운용성;표준화
gq-006,RSF(Readiness Support Framework) 전략이란?,POLICY,medium,exact_term,pub:kida:a0c8315faf322595981c996721376447,,3,RSF는 미군의 군수지원 준비태세 프레임워크로 MRO 효율화 전략,no,,,draft,매핑: 2024_김진호_미군의RSF전략에대응하는국방MRO발전방향,KW006,2024_김진호_미군의RSF전략에대응하는국방MRO발전방향,exact,RSF;Readiness Support Framework;MRO;군수지원
gq-007,DIU(국방혁신단)의 역할은?,POLICY,medium,exact_term,pub:kida:780ab1feb626e0554a8e217b5547378f,,3,DIU는 미국 국방부 산하 기관으로 스타트업 기술을 군에 빠르게 도입하는 혁신 조직,no,,,draft,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고,KW007,2024_나상욱_유무인복합체계_MUM-T_발전방향에대한소고,exact,DIU;국방혁신단;스타트업;민군 협력
gq-008,ROTC 지원율 하락의 주요 요인은?,PERSONNEL,easy,exact_term,pub:kida:3dda090e139e908b38cff02744e21253,,3,"ROTC 지원율 하락 요인으로는 군 복무 기피 현상, 취업시장 변화, 처우 문제 등",no,,,draft,매핑: 2024_김영곤_학군장교(ROTC)지원율하락요인과개선방안,KW008,2024_김영곤_학군장교_ROTC_지원율하락요인과개선방안,exact,ROTC;학군장교;지원율;하락
gq-009,CNI(재래식 핵 통합)의 개념은?,SECURITY,hard,exact_term,,,,CNI는 재래식 전력과 핵전력을 통합 운용하는 한미 연합전략 개념,no,,,draft,문서 라벨을 특정할 수 없음. 검토자가 확인 필요,KW009,국방정책연구_CNI 관련 문서,none,CNI;재래식;핵;통합;한미
gq-010,정밀유도포탄(PGM)의 세계적 현황은?,WEAPON_SYSTEM,medium,exact_term,pub:kida:13355fff22fba242157600fc3c169540,,3,"정밀유도포탄은 GPS/INS 유도 방식이 주류이며, 미국 엑스칼리버 등이 대표적",no,,,draft,매핑: 2024_김종국_정밀유도포탄의세계적현황및적정소요량설정방향,KW010,2024_김종국_정밀유도포탄의세계적현황및적정소요량설정방향,exact,정밀유도포탄;PGM;GPS;엑스칼리버
