case_id,prior_case_id,query_slice,question,expected_evidence,document_title,page_count,proposed_pages,proposal_coverage,proposed_page_text,relevant_pages,relevance_grade,reviewed_by,notes
gq-014,KW014,exact_term,인태지역 주요국 군사력과 전략동향은?,"인태지역에서 미중 경쟁 심화, 역내 국가들의 군비 증강 추세",인태지역주요군사력과전략동향,513,"15,39,370",0.11,"p15: 공간 확대, 한국 기업 등 현지 진출요인 증가, 인도의 거버넌스/인프라 취약성과 강한 민족주의 추세가 있다. 대만은 대만해협의 군사적 폭발 가능성 대두, 대만 국제화 요구 강화 움직임, 미국 촉발 글로벌 공급망 재편 과정에서 '동병상련' 등 의 요인이 있다. 북한은 북미대화 난망/북러관계 진전, 북한 핵능력 고도화/전술 핵 위협, 한반도 안보 불안 조성, NATO와 한국 간 공통 이해관계 확…  ||  p39: □ 참고문헌 강병철. (2023. 10. 2.). “바이든 “우크라 예산 조속 처리해야”...하원의장 “美 국경이 우선.”” 『연합뉴스』. 강석율. (2022), “통합적 억제 개념과 미 바이든 행정부의 국방전략.” 『동북 아안보정세분석』. 한국국방연구원. 『국방일보』. (2023. 6. 23.). “정부재원 마련 먹구름... 신용위기, 경기 침체 우려.” 김재천. (2022) “바이든 행정…  ||  p370: 술 활용 미래전 능력 구비를 위해 노력하고 있다. 인도는 2047년 세계군사강국 실 현/첨단무기 국산화, 국경방어, 인도양/남아시아 주도권, 남/동중국해/서태평양 영 향력 확대, 전략군대화, 합동작전능력 제고, 해양/우주 공간의 적극 활용을 도모하 고 있다. 대만은 국가안보, 국방 전문성, 자주국방, 인민의 안녕, 전략적 협력 확대; ‘단호한 방어’, 합동작전능력 기반 다영역 억제력/ 비대칭…",,,,매핑: 2023_이상국_인태지역주요군사력과전략동향
gq-018,SR003,concept,현대전에서 민간 기술의 군사적 활용 사례는?,"상용 드론의 정찰/공격 활용, AI/ML 기술의 표적 식별 적용 등 우크라이나 전쟁 사례",2개의전쟁무엇을배울것인가,12,"9,6,4",0.29,"p9: KIDA D efense Issues & Analyses - 대응 능력과 속도가 강화되면 반격시간의 단축으로 기습공격의 효과는 상당히 제한될 것이며, 이는 러시아 초기공세에서 우크라이나군의 키이우 방어작전에서 증명된 바 있다. 또한, 신속한 공세전환은 군사력 운용 수단의 정밀한 결합이 필수적이다. 방어에서 공격으로의 빠른 전환은 재래식 무기체계, 드론, 사이버/우주 능력들을 통합 활용하고 항…  ||  p6: KIDA Defense Issues & Analyses - 두 번째 교훈, 무인체계(드론) 전장 활용의 일반화 우크라이나와 이스라엘의 전장에서 무인 체계의 중요성이 급증하고 있다는 사실은 이미 잘 알 려져 있다. 특히 드론은 최근 전투에서 가장 효과적인 무기체계라는 점이 증명되었으며, 현대전의 작전 양상에 큰 영향을 주고 있다. 전투원들은 드론을 통해 실시간 상황인식과 표적을 정확하게 파괴할…  ||  p4: KIDA Defense Issues & Analyses - 에 따른 전장 변화에 대한 준비와 함께 전통적인 관점에서의 군사력 강화를 게을리해서는 안될 것이다. 첫 번째 교훈, 대규모 지상 전투의 중요성 현재와 미래 전장의 핵심은 공중과 우주가 될 것이라는 통념과는 달리 대규모 지상 전투의 중 요성은 과거의 유산이 아닌 현실로 다가왔다. 특히 대규모의 지상 전투가 현재와 미래 어느 곳에 서도 …",,,,매핑: 2024_유기현_2개의전쟁무엇을배울것인가
gq-020,SR005,concept,기후변화가 군사 작전에 미치는 영향은?,"극한 기후로 인한 장비 운용 제한, 재해 대응 임무 증가, 에너지 효율성 요구",기후변화와전투준비태세-선진국의대응과시사점,14,"2,7,8",0.23,"p2: KIDA Defense Issues & Analyses - 2024년 1월 세계 경제 포럼1)이 발간한 ‘글로벌 위험 보고서(Global Risks Report 2024)’에 따르 면 향후 10년간 우리 삶의 가장 큰 위험요소 중 상위 4개가 기후변화2)와 직접 연관되어 있다. 기후변화 시나리오에 따라 다소 차이가 있지만, 전문가들은 공통적으로 지구온난화로 인해 해수 면이 상승하게 되고 극한…  ||  p7: KIDA D efense Issues & Analyses - 평가할 수 있다. 취약성은 위험에 대한 전투준비태세의 민감도와 위험이 초래하는 결과를 완화할 수 있는 적응능력의 조합으로 표현된다.11) 민감도가 높다는 것은 위험에 대한 노출로 인해 심각 또는 광범위하거나 영구적인 손상을 입게 되는 경우를 말하며, 적응능력이 높다는 것은 위험으로 인한 중단이나 영향을 줄일 수 있는 저비용의 실현 …  ||  p8: KIDA Defense Issues & Analyses - 영국 국방부의 기후변화 대응12) 2019년 6월 영국 의회는 정부가 2050년까지 온실가스 배출량을 1990년 대비 100% 감축할 것 을 법제화하였다. 이는 영국 정부가 2050년까지 ‘넷 제로(net zero)’13)를 달성하기 위해 법적 구속 력이 있는 약속을 했다는 것을 의미한다. 또한, 영국 정부는 안보, 국방, 외교 분야…",,,,매핑: 2024_이남석_기후변화와전투준비태세-선진국의대응과시사점
gq-021,SR006,concept,국방 분야에서 지속가능성이 왜 중요한가?,"에너지 효율성 향상, 친환경 무기체계 개발, 장기적 군사력 유지를 위해 필수",국방부문의지속가능성(Sustainability)및에너지효율성향상정책검토,12,"3,8,12",0.30,"p3: KIDA Defense Issues & Analyses - 그러나 이러한 현실이 국방 분야가 기후 변화와 환경문제에서 자유롭다는 점을 시사하는 것은 아니다. 미국 사례를 먼저 살펴보면, 미국 브라운대 왓슨연구소의 연구결과에 의하면 2017년까지 미 국방부가 국가 내 단일조직으로서는 최대의 온실가스 배출대상이었다. 미국방부가 소유한 군함, 군용기, 군용차량 등 군사장비, 군시설 등에서 심각한 …  ||  p8: KIDA Defense Issues & Analyses - 군사 활동과 전쟁이 환경에 미치는 영향을 연구하고 알리는 Concrete Impacts 글로벌 프로젝트22) 는 각국의 UNFCCC 국방 부문 온실가스 배출량 보고에 대해서 매해 평가하고 있다. 최근 평가 결과에 따르면 한국의 배출보고의 등급은 ‘축소 보고됨’으로, 데이터 접근성 점수는 ‘미흡’한 것으 로 나타났다. 2018년 기준 …  ||  p12: KIDA Defense Issues & Analyses 우선적으로 국방 분야 온실가스 배출 실태에 대해서 정확히 파악하고 관리하여야 한다. 나아가 장기간 지속가능성과 에너지 효율성 향상 정책을 세워온 미 국방부의 좋은 정책들을 적극적으로 검토하고, 한국 국방 분야로의 시사점을 점검해보는 노력이 필요하다. 현존하는 다양한 관련 정책들 에 대한 검토를 바탕으로 한국군에 맞는 환경 및 에너지 효율…",,,,매핑: 2024_나상욱_국방부문의지속가능성(Sustainability)및에너지효율성향상정책검토
gq-022,SR007,concept,전시에 군수물자를 안정적으로 공급하는 방법은?,"성과기반 군수지원, 예측적 정비, 민간 물류 협력 등을 통한 지속지원성 확보",전시우리군성과기반군수지원의지속지원성향상을위한발전,8,"2,8,3",0.22,"p2: KIDA Defense Issues & Analyses - 현대전에서 민간기업의 지원 없이 전쟁을 수행하는 것은 불가능하다.1) 현대전의 양상을 적나라 하게 보여주는 우크라이나전은 과거 그 어느 전쟁보다 민간기업과의 협력이 전쟁의 중요 요소임을 인식시켜 주고 있다. 우크라이나는 미국기업 스페이스X의 인공위성 기반 통신서비스 스타링크를 통해 러시아의 공격으로 파괴된 자국 통신망을 대체하였고, …  ||  p8: KIDA Defense Issues & Analyses 전시 PBL 지속지원성 향상을 위한 발전방안 관련 주체 정부 군 업체 ∙ 중점관리대상업체에 대한 전・평시 지원제도 강화 ∙ 전시 PBL 업체 직원의 지위와 자격, 권한에 대한 기준 명확화 ∙ 전시 대비 연습에 PBL 업체 참여 의무화 ○ ○ ∙ 중점관리대상업체로 지정 및 PBL 계약에 따른 임무범위를 산업동원 임무고지에 반영 ∙ 국내 P…  ||  p3: KIDA Defense Issues & Analyses - 우리 군 PBL 사업의 실태와 특징 다음으로, 전시 지속지원성 향상의 관점에서 고려해야 할 우리 군 PBL 사업의 특징을 살펴본다. PBL 업체가 제공하는 군수지원요소는 크게 보급 혹은 정비로 구분되는데 그 외 사업별로 기술지원, 단종관리 등 세부적인 지원요소가 부가되기도 한다. 현재까지 우리 군과 PBL 계약을 체결한 업체는 국내외…",,,,매핑: 2024_권남연_전시우리군성과기반군수지원의지속지원성향상을위한발전
gq-023,SR008,concept,사이버 보안 인력 양성의 어려움은?,"전문성 평가 기준 부재, 민간 대비 처우 열악, 빠른 기술 변화 대응 곤란",국방사이버전문인력의전문성판단개선방안,16,"2,4,8",0.31,"p2: KIDA D efense Issues & Analyses - 국방 안보를 위협하고 있는 국내・외적 사이버 공격은 지속해서 증가하고 있다. 사이버 전력은 사이버 작전을 수행하는 인력의 역량 또는 전문성에 의해 수준이 결정되며, 이에 미국 등 선진 군은 우수한 사이버 인력의 획득 및 양성에 많은 노력을 기울이고 있다. 우리 군 또한 전문성 있는 사이버 인력을 획득하기 위해 다양한 수단을 취하고 …  ||  p4: KIDA D efense Issues & Analyses - 개선에 관한 주요이슈는 다음과 같다. 첫째, 사이버 행정/기술의 개별적인 역량지수 개발 필요성 여부이다. 둘째, 역량지수를 구성하는 각 지수의 적정한 가중치 적용이다. 마지막으로, 역량판단 시점에서의 사이버 전문인력의 실질적인 현 기술역량평가 결과를 역량지수에 반영하는 것이다. <표 2> 현 역량지수에 대한 각 군별 주요 의견 구분…  ||  p8: KIDA D efense Issues & Analyses - 사이버 전문인력 역량평가 방법 현 역량지수 수용 여부 비고 대분류 중분류 기술 지식 평가 이론 시험 성적 ○ 학력지수, 자격지수 자격증 보유 여부 ○ 자격지수 관련 분야의 학위 및 전공 ○ 학력지수 실전 경험 평가 시뮬레이션 및 실습 성적 (기술 문제 해결 및 사이버 공격/방어 대응 성공률) × n/a 실제 작전에서의 성과 및 참여…",,,,매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안
gq-028,SR013,concept,한국 사회문화적 변화가 군에 미치는 영향은?,"개인주의 확산, MZ세대 특성, 가치관 변화로 인한 복무 문화 및 리더십 변화 요구",한국의사회문화적이슈가군에미친영향,164,"86,143,94",0.31,"p86: 화장실 가혹행위 사건은 사회적으로 큰 충격을 안겨주었다. 육군은 감찰감을 위원장 으로 하는 육군 인권개선위원회를 설치하여 운용하였으나, 다시 같은 해 6월 육군 28 사단 GP 내무반 총기 난사라는 충격적인 사건을 맞이하게 되었다. 이를 계기로 대통령의 지시에 따라 2005년 7월 창군 이래 최초로 민관군 합동으로 병영문화 전반을 검토하는 병영문화개선 대책위원회가 발족하였다. 병영문화개선위 …  ||  p143: 의 인간관계가 발전하고 한편으로는 정보 접근과 의사 표현에 제한이 없어지면서 권 위주의를 거부하고 의사결정에 직접 참여를 희망한다. MZ세대의 새로운 생활방식과 가치관 등으로 군·사회 간 소통과 개방성은 필연적으로 더욱 요구될 것이다. 이러한 변화는 사회와 인적·물적 자원을 공유하는 군에게도 큰 영향을 미친다. 만 약 군이 업무 및 조직 운영 방식을 현재와 유사하게 관성적으로 유지하게 되면,…  ||  p94: 3. 군 인권 증진의 법적·제도적 성과 여러 차례의 병영문화 개선 노력이 이어지면서 어느 정도 성과도 거두었다. 국방개 혁에 관한 법률에서 처음 병영문화가 중요하게 다루어진 이래 우선 법적 기반이 마련 되었고, 또 조직적·제도적 기반도 강화되었다. 병영환경 및 문화 차원의 변화도 있었 다. 병영시설의 획기적 개선 및 복지 증진, 구타 및 가혹행위 침해 사례 감소 등도 이 루어졌다. 물론 이러…",,,,매핑: 2023_독고순_한국의사회문화적이슈가군에미친영향
gq-031,MH001,multi_hop,"우크라이나 전쟁과 이스라엘-하마스 전쟁의 공통된 교훈은 무엇이며, 이를 한국군에 어떻게 적용해야 하는가?","하이브리드전 일반화, 무인체계 활용 확대, 방어의 한계와 공격의 중요성 인식. 한국군은 대도시전투 준비, 무인체계 개념 정립, 선제적 공격작전 강화 필요",2개의전쟁무엇을배울것인가,12,"6,8,9",0.18,"p6: KIDA Defense Issues & Analyses - 두 번째 교훈, 무인체계(드론) 전장 활용의 일반화 우크라이나와 이스라엘의 전장에서 무인 체계의 중요성이 급증하고 있다는 사실은 이미 잘 알 려져 있다. 특히 드론은 최근 전투에서 가장 효과적인 무기체계라는 점이 증명되었으며, 현대전의 작전 양상에 큰 영향을 주고 있다. 전투원들은 드론을 통해 실시간 상황인식과 표적을 정확하게 파괴할…  ||  p8: KIDA Defense Issues & Analyses - 세 번째 교훈, 방어의 한계 그리고 공격의 중요성 2개의 전쟁에서 배워야 하는 마지막 교훈은 전쟁에서 공격작전의 중요성이다. 어찌 보면 매우 당연한 말이기도 하고, 혹자는 공격과 방어의 균형이 더 중요하다는 논리를 주장할 수도 있다. 그러나 전쟁의 본질은 정치적 목적을 달성하기 위해 폭력적이고, 파괴적이며 살인을 유발하는 행위라는 점…  ||  p9: KIDA D efense Issues & Analyses - 대응 능력과 속도가 강화되면 반격시간의 단축으로 기습공격의 효과는 상당히 제한될 것이며, 이는 러시아 초기공세에서 우크라이나군의 키이우 방어작전에서 증명된 바 있다. 또한, 신속한 공세전환은 군사력 운용 수단의 정밀한 결합이 필수적이다. 방어에서 공격으로의 빠른 전환은 재래식 무기체계, 드론, 사이버/우주 능력들을 통합 활용하고 항…",,,,매핑: 2024_유기현_2개의전쟁무엇을배울것인가 | 다중 문서 근거 필요
gq-038,MH008,multi_hop,글로벌 사우스의 부상이 한국 국방정책에 미치는 영향과 대응 방안은?,"방산수출 시장 확대 기회, 다자 안보협력 필요성 증대. 대응: 전략적 파트너십 구축, 기술 협력, 국방외교 강화",글로벌사우스의부상과한국의대외정책적과제,12,"10,8,6",0.27,"p10: KIDA Defense Issues & Analyses - 사우스가 글로벌 거버넌스에 대한 개혁을 강력히 요구하는 상황에서 규칙에 기반한 국제질서, 가치 에 기반한 파트너십 등 현상 유지에 방점이 찍힌 서방측 외교적 담론이 글로벌 사우스에 큰 설득력 을 가지지 못하고 있다는 점이다.38) 더욱이 이스라엘-하마스 전쟁 등에서 보여준 서방측의 ‘선택적・ 편의적 정의’는 서방측 담론의 일관성을 크…  ||  p8: KIDA Defense Issues & Analyses - 아, 아르헨티나의 신규 가입을 승인하며 브릭스를 확대하기로 하였다. 이후 아르헨티나와 사우디는 브릭스 가입을 철회했지만, 브릭스 확대는 글로벌 사우스를 둘러싼 국제외교의 큰 이정표로 평가받 고 있다. 중국과 러시아는 브릭스 확대를 통해 글로벌 사우스와의 접점을 확대하며, 서방의 글로벌 영향력을 상쇄하고자 한다. 서방과 불편한 관계에 …  ||  p6: KIDA Defense Issues & Analyses - 대에서 중국과 러시아를 지지하는 국가의 수가 서방을 지지하는 국가의 수만큼 대등하게 많아진 점 등을 고려할 때 ‘서방권’보다는 ‘비서방권’이 ‘글로벌 사우스’에 좀 더 적극적이고 체계적인 노력을 기울였다는 평가가 적지 않다.16) 먼저 인도는 글로벌 사우스의 일원이자 대표를 자처하는 국가로 글로벌 사우스 외교에서 큰 두각을 나타내고 …",,,,매핑: 2024_노인규_글로벌사우스의부상과한국의대외정책적과제 | 다중 문서 근거 필요
gq-063,KW018,exact_term,PBL(성과기반군수지원)의 핵심 개념은?,PBL은 결과물 기반 계약으로 가용도/신뢰도 목표 달성 시 대가 지불하는 군수지원 방식,전시우리군성과기반군수지원의지속지원성향상을위한발전,8,"2,3,4",0.25,"p2: KIDA Defense Issues & Analyses - 현대전에서 민간기업의 지원 없이 전쟁을 수행하는 것은 불가능하다.1) 현대전의 양상을 적나라 하게 보여주는 우크라이나전은 과거 그 어느 전쟁보다 민간기업과의 협력이 전쟁의 중요 요소임을 인식시켜 주고 있다. 우크라이나는 미국기업 스페이스X의 인공위성 기반 통신서비스 스타링크를 통해 러시아의 공격으로 파괴된 자국 통신망을 대체하였고, …  ||  p3: KIDA Defense Issues & Analyses - 우리 군 PBL 사업의 실태와 특징 다음으로, 전시 지속지원성 향상의 관점에서 고려해야 할 우리 군 PBL 사업의 특징을 살펴본다. PBL 업체가 제공하는 군수지원요소는 크게 보급 혹은 정비로 구분되는데 그 외 사업별로 기술지원, 단종관리 등 세부적인 지원요소가 부가되기도 한다. 현재까지 우리 군과 PBL 계약을 체결한 업체는 국내외…  ||  p4: KIDA Defense Issues & Analyses - 마지막으로 본고에서 발전방안을 제시하고자 하는, PBL 사업들의 전시 지속지원 준비 사항을 살펴보면 다음과 같다. 현재 PBL 사업추진의 각 단계에서는 전시 군수지원에 대한 리스크를 검토하 고 있는데, 이는 사업 관련 공식 문서(계약서 혹은 사업이행계획서)4)에 전시 지원사항이 반영되었 는지 여부와 전시 대비 평시 준비사항 등을 점검…",,,,매핑: 2024_권남연_전시우리군성과기반군수지원의지속지원성향상을위한발전 | 질문에 답이 괄호로 노출된 정의형. 검색 과제로는 유효하나 난이도가 낮음
