case_id,question,topic,difficulty,query_slice,relevant_publication_ids,relevant_pages,relevance_grade,expected_evidence,acceptable_abstention,created_by,reviewed_by,adjudication_status,notes
gq-001,,,,,,,,,,,,draft,
gq-002,,,,,,,,,,,,draft,
gq-003,,,,,,,,,,,,draft,
gq-004,,,,,,,,,,,,draft,
gq-005,,,,,,,,,,,,draft,
gq-006,,,,,,,,,,,,draft,
gq-007,,,,,,,,,,,,draft,
gq-008,,,,,,,,,,,,draft,
gq-009,,,,,,,,,,,,draft,
gq-010,,,,,,,,,,,,draft,
gq-011,,,,,,,,,,,,draft,
gq-012,,,,,,,,,,,,draft,
gq-013,,,,,,,,,,,,draft,
gq-014,,,,,,,,,,,,draft,
gq-015,,,,,,,,,,,,draft,
gq-016,,,,,,,,,,,,draft,
gq-017,,,,,,,,,,,,draft,
gq-018,,,,,,,,,,,,draft,
gq-019,,,,,,,,,,,,draft,
gq-020,,,,,,,,,,,,draft,
gq-021,,,,,,,,,,,,draft,
gq-022,,,,,,,,,,,,draft,
gq-023,,,,,,,,,,,,draft,
gq-024,,,,,,,,,,,,draft,
gq-025,,,,,,,,,,,,draft,
gq-026,,,,,,,,,,,,draft,
gq-027,,,,,,,,,,,,draft,
gq-028,,,,,,,,,,,,draft,
gq-029,,,,,,,,,,,,draft,
gq-030,,,,,,,,,,,,draft,
gq-031,,,,,,,,,,,,draft,
gq-032,,,,,,,,,,,,draft,
gq-033,,,,,,,,,,,,draft,
gq-034,,,,,,,,,,,,draft,
gq-035,,,,,,,,,,,,draft,
gq-036,,,,,,,,,,,,draft,
gq-037,,,,,,,,,,,,draft,
gq-038,,,,,,,,,,,,draft,
gq-039,,,,,,,,,,,,draft,
gq-040,,,,,,,,,,,,draft,
