risk_rank,case_id,prior_case_id,query_slice,question,expected_evidence,relevant_publication_ids,answer_grounding,review_flags,near_duplicate_of,question_verdict,revised_question,reviewed_by,notes
1,gq-033,MH003,multi_hop,북한 핵위협 대응을 위한 3축 체계와 한미 연합전력의 역할을 종합적으로 설명하시오.,"3축 체계(킬체인, KAMD, KMPR)와 한미 확장억제(핵우산, CNI) 통합. 선제타격, 미사일 방어, 응징보복의 중층 억제",,,templated;unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
2,gq-034,MH004,multi_hop,국방 AI 적용 시 기술적 과제와 인력 양성 과제를 연계하여 설명하시오.,"기술: AI/ML 신뢰성, 데이터 품질, 보안. 인력: 사이버 전문인력 전문성 평가 개선, 민간 경쟁력 확보, 교육체계 구축 필요",,,templated;unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
3,gq-036,MH006,multi_hop,인구감소 시대의 병역제도 변화 방향과 군 간부 획득 문제의 해결책을 종합하시오.,"병역제도: 질적 정예화, 복무기간 조정. 간부 획득: 처우 개선, 경력 연계, ROTC 활성화, 사회적 인식 개선 병행",,,templated;unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
4,gq-037,MH007,multi_hop,사이버전과 우주전의 발전 동향을 비교하고 한국군의 대비 방향을 제시하시오.,"사이버: 전문인력 양성, 민관 협력. 우주: 위성공격무기 대응, 우주감시체계 구축. 공통: 기술 우위 확보, 법제도 정비 필요",,,templated;unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
5,gq-044,MH014,multi_hop,미래 국방환경 변화에 따른 군무원의 역할 재정립과 인력 운영 개선 방향을 종합하시오.,"기술 전문성 요구 증가, 민간 인력 활용 확대. 군무원: 전문 분야 역할 강화, 경력개발 체계 구축, 민군 협력 강화",pub:kida:3c7e92c303d23f16c088198563bf3951,0.00,low_grounding;templated,,,,,매핑: 2023_오혜_미래국방환경에부합한군무원의역할활용분야정립 | 다중 문서 근거 필요
6,gq-045,MH015,multi_hop,2023년 세계 분쟁 분석과 북한 전략동향 평가를 종합하여 한반도 안보 전망을 제시하시오.,"세계 분쟁 증가 추세, 북한 핵미사일 고도화. 한반도: 안보 불확실성 증대, 동맹 강화, 독자 억제력 확보 필요",,,templated;unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
7,gq-132,MH017,multi_hop,한국의 방산수출 성과와 글로벌 사우스 국가들과의 협력 전략을 연계하여 분석하시오.,"신흥시장 공략, 기술 협력 패키지, 교육훈련 연계, 현지 생산 모델, 외교적 관계 강화",,,templated;unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
8,gq-137,MH022,multi_hop,국방 SW 획득체계 개선과 AI 기반 무기체계 개발 촉진 방안을 종합하시오.,"애자일 개발 도입, 요구사항 유연화, 민간 기술 신속 도입, 데이터 권리 명확화, 보안 인증 간소화",pub:kida:bc3a9c9a14c66016c41eb20e670ccd8a,0.43,low_grounding;templated,,,,,매핑: 2023_남기헌_국방소프트웨어획득제도정비방안 | 다중 문서 근거 필요
9,gq-139,MH024,multi_hop,기후변화 안보위협과 군의 에너지 효율성 정책을 연계하여 대응 방안을 제시하시오.,"재생에너지 활용, 에너지 자립 기지, 기후재난 대응 역량, 탄소중립 목표 설정",,,templated;unmapped_document,,,,,문서 라벨을 특정할 수 없음. 검토자가 확인 필요 | 다중 문서 근거 필요
10,gq-141,MH026,multi_hop,인태지역 안보환경 변화와 한국의 해양전략 발전 방향을 연계 분석하시오.,"인태전략 참여, 해군력 증강, 다자해양협력, SLOC 보호, 원해작전 능력 확보",pub:kida:d5ea895302069f644442cc44c0dd9eb5,0.30,low_grounding;templated,,,,,매핑: 2023_이상국_인태지역주요군사력과전략동향 | 다중 문서 근거 필요
