case_id,question,query_slice,difficulty,relevant_publication_ids,document_title,prior_keywords,suggested_pages,matched_keywords,page_evidence,relevant_pages,relevance_grade,reviewed_by,adjudication_status,notes
gq-003,MUM-T(유무인복합체계)란 무엇인가?,exact_term,easy,pub:kida:780ab1feb626e0554a8e217b5547378f,유무인복합체계(MUM-T)발전방향에대한소고,MUM-T;유무인복합체계;유인;무인;협력,"3,6,10,2","MUM-T,유인,무인,협력 | MUM-T,유인,무인,협력 | MUM-T,유인,무인,협력 | MUM-T,유인,무인,협력","p3: … 적을 선제타격할 수 있다. 2001년 9.11 테러 발생 이후 시작된 미국-아프가니스탄 전쟁에서 무인기 MQ-1 Predator는 헬 파이어 미사일로 적을 공격하고 정찰용 무인기로서 영상을 전송하…  ||  p6: …여 미국이 강대국 간 지정학적 경쟁이 벌어지는 중요한 10년에 있다고 정의하였다.14) 미국은 유・무인복합체계를 중요한 능력으로 여겨왔으며, 미국 육군에서 주도하여 무인기를 활 용한 MUM-T를 먼…  ||  p10: …KIDA D efense Issues & Analyses - 또한, MUM-T 도입 시 LOI 수준에 따라 기존 유인기 조종사에게 무인기 조종 등 추가적인 업무 가 발생하게 되므로 이러한 워크로드를…  ||  p2: …으로 하는 4차 산업혁명 시대에 군사 환경과 전투체계 또한 변화 의 중심에 서 있다. 그중 인간과 무인 시스템이 협력하여 작전을 수행하는 형태의 유・무인복합체 계(MUM-T)1)는 중요성과 활용 가…",,,,draft,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
gq-005,NATO 조달체계의 특징은 무엇인가?,exact_term,medium,pub:kida:4af0cacdfad4e0d5f9b7a55ec854c803,NATO조달체계란무엇이고어떻게접근할것인가,NATO;조달체계;상호운용성;표준화,"9,8,5,10","NATO,표준화 | NATO | NATO | NATO","p9: …를 갖추는 데 행정비용이 발생한다. 예를 들면 협력 당사국들 사이 에 지식재산권, 실시허가 조건, 표준화 문제, 투명성 문제, 정보 보호, 기술 보호, 수출통제 체계 등을 구축하는 데 따르는 비용이…  ||  p8: …KIDA Defense Issues & Analyses - NATO 회원국 입장에서 군비(armament) 소요와 자원을 집약하고 공유(pooling and sharing)함으로 써 공동의 방위 역…  ||  p5: …KIDA Defense Issues & Analyses - NATO 회원국 여부에 따른 계약 현황을 살펴보면, 2015~2023년 동안의 Purchase Order 계약금 액 면에서 NATO 회원국…  ||  p10: …sues & Analyses - 게 보아야 할 수도 있는 부분인데, 원래 회원국 중심으로 운영되는 NATO 조달청 측의 입장에서는 비회원국의 필요에 의해 지원하게 되는 상황에서 비회원국과의 관계에서…",,,,draft,매핑: 2024_김지수_NATO조달체계란무엇이고어떻게접근할것인가
gq-006,RSF(Readiness Support Framework) 전략이란?,exact_term,medium,pub:kida:a0c8315faf322595981c996721376447,미군의RSF전략에대응하는국방MRO발전방향,RSF;Readiness Support Framework;MRO;군수지원,"8,2,7,11","RSF,MRO,군수지원 | RSF,MRO,군수지원 | RSF,MRO,군수지원 | RSF,MRO,군수지원","p8: …00억 달러를 목표로 잡고 있다. 이와 같은 방산수출 호황 속에서, 기존의 미국과의 공급협력 외에 RSF 형태로 공식 발표된 지역기반의 MRO 협력이 우리나라에 적용되면 국방MRO에 큰 변화를 불러…  ||  p2: …한 Regional Sustainment Framework(지역기반 지속지원 프레임워크,2) 이하 RSF)를 2024년 5월에 발표하였다. RSF는 미군의 유지・보수・정비(Maintenance, R…  ||  p7: …유하고 있음) ∙ 테스트를 통해 공인 업체로 지정 ∙ 미 해군항공우주방위사령부와 계약을 체결함 상호군수지원협정 (Acquisition And Cross-Serving Agreement, ACSA)*…  ||  p11: …력이 협업하거나 핵심 구성품을 지원할 가능성도 배제할 수 없다. 관련 법규・협약 점검 <표 3>은 RSF 추진 시 정비 및 검토가 필요한 국내, 국외 법규 및 협약을 정리한 것이다. 기본적 으로 미…",,,,draft,매핑: 2024_김진호_미군의RSF전략에대응하는국방MRO발전방향
gq-007,DIU(국방혁신단)의 역할은?,exact_term,medium,pub:kida:780ab1feb626e0554a8e217b5547378f,유무인복합체계(MUM-T)발전방향에대한소고,DIU;국방혁신단;스타트업;민군 협력,"1,10,5,4","DIU,국방혁신단,스타트업 | DIU,스타트업 | DIU,국방혁신단 | 스타트업","p1: …한다. 둘째, MUM-T에 필요한 AI, 자율 화 등 첨단 민간기술이 군에 빠르게 도입될 수 있는 스타트업 중심의 민・군 혁신생태계를 조성해 나가야 한다. 미국의 DIU(국방혁신단)처럼 국방사업의 …  ||  p10: … 국가들의 국방과학기술 수준이 비슷한 수준으로 발전함에 따라, 새로운 기술에 적극 투자할 수 있는 DIU를 설립하여 민간의 최첨단 기술을 군에 적용(Spin-on)할 수 있도록 하고 있다. 실리콘밸…  ||  p5: …개편하고 새로운 기술에 적극적으로 투자하기 위한 조직들을 2018년에 신설하였다. DARPA 외에 국방혁신단(DIU12))을 신설하였으며, 기술발전 속도가 빠른 민간과의 협업을 통하 여 민간의 기술…  ||  p4: …노력을 하고 있는지 확인해볼 필 요가 있다. 미국 국방부는 최첨단 혁신에 효과적으로 접근하기 위해 스타트업 우대정책을 펼치고 있다. 기존의 국방분야 진입 장벽을 낮추고, 스타트업의 국방분야 진출을 …",,,,draft,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
gq-008,ROTC 지원율 하락의 주요 요인은?,exact_term,easy,pub:kida:3dda090e139e908b38cff02744e21253,학군장교(ROTC)지원율하락요인과개선방안,ROTC;학군장교;지원율;하락,"2,1,11,4","ROTC,학군장교,지원율,하락 | ROTC,학군장교,지원율,하락 | ROTC,학군장교,지원율,하락 | 학군장교,지원율,하락","p2: … MZ세대 청년층의 의식 변화 등으로 장교 인력의 획득 상황이 지속적으로 악 화되고 있다. 특히, 학군장교(ROTC)는 육군 기준 초급장교 임관 인원의 약 70% 이상을 차지하는 핵심자원 이지만 최…  ||  p1: …제1975호(24-2) 2024년 1월 15일 학군장교(ROTC) 지원율 하락 요인과 개선방안 김영곤 한국국방연구원 국방인력연구센터 ygkim@kida.re.kr 학군장교(ROTC)는 육군 기준 초…  ||  p11: …단과 개선을 위한 제언 홍석수・이현재・김리아, 국방 전력운영사업 사전타당성 검토 발전방향 김영곤, 학군장교(ROTC) 지원율 하락 요인과 개선방안 홍숙지, 군 다문화 정책발전 방향에 대한 제언…  ||  p4: … 않은 이상 장교 복무를 꺼리게 되는 현상이 두드러지게 나타나고 있다. 학군 후보생 대상 인식조사 학군장교 지원율 하락 요인을 좀 더 구체적으로 조사하기 위해 학군 후보생 생활의 어려움 및 초급장교…",,,,draft,매핑: 2024_김영곤_학군장교(ROTC)지원율하락요인과개선방안
gq-010,정밀유도포탄(PGM)의 세계적 현황은?,exact_term,medium,pub:kida:13355fff22fba242157600fc3c169540,정밀유도포탄의세계적현황및적정소요량설정방향,정밀유도포탄;PGM;GPS;엑스칼리버,"1,2,3,7","정밀유도포탄,GPS,엑스칼리버 | 정밀유도포탄,엑스칼리버 | 정밀유도포탄,엑스칼리버 | 정밀유도포탄,GPS","p1: …2018호(24-45) 2024년 11월 25일 발행처 한국국방연구원 발행인 김정수 편집인 박수현 정밀유도포탄의 세계적 현황 및 적정 소요량 설정방향 김종국 한국국방연구원 전력투자분석센터 jkook…  ||  p2: …고폭탄(HE탄), 이중목적 고폭탄(DP-ICM)3)을 지속해서 확보하 는 동시에 정확도를 증대시킨 정밀유도포탄도 추가로 확보하는 것을 계획하고 있다.4) 「합참 포럼」5)에서는 현재 확보를 진행하고…  ||  p3: …KIDA Defense Issues & Analyses - 서방국가의 정밀유도포탄은 미국, 독일, 러시아 등에서 개발되었거나 진행 중에 있으며, 특히 미국은 1992년 정밀유도포탄(엑스칼리버, M9…  ||  p7: …10m (업체 2m) 50m <10m <5m 확인 제한 탄두 22kg - 16.3kg - - 유도 GPS/IMU + (SAL) GPS/IMU GPS/IMU+ (이중모드 탐색기) GPS/IMU+ SA…",,,,draft,매핑: 2024_김종국_정밀유도포탄의세계적현황및적정소요량설정방향
gq-011,북한 핵고도화 대응을 위한 한국형 핵공유 옵션이란?,exact_term,hard,pub:kida:ff51af852bf7909c8d5d5c99c6089b3f,북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용,핵공유;북핵;고도화;NATO;확장억제,"14,24,10,9","핵공유,북핵,고도화,NATO,확장억제 | 핵공유,북핵,NATO,확장억제 | 핵공유,북핵,고도화,확장억제 | 핵공유,북핵,고도화,확장억제","p14: …것에 대한 국민적 실망감이 여전 히 존재한다는 것이다. 따라서 ‘워싱턴 선언’에 반하지 않으면서도 확장억제의 신 뢰성과 동맹보장을 강화시킬 수 있는 방안을 모색할 필요가 있다. 본 연구에서는 3축 …  ||  p24: … 지역에 대해 증가하는 핵 위협에 대한 소통 및 정보공유 증진을 통하는 것을 포함한다. 양 정상은 확장억제를 강화하고, 핵 및 전략 기획을 토의하며, 비확산체제에 대한 북한의 위협 을 관리하기 위해…  ||  p10: …한국형 핵공유의 주요 특성은 1 한국에 제공될 핵무기 사전배정(earmarking), 2 영토 밖 핵무기 보관시설 구축(basing), 3 위기고조 시 핵무기 공여 (provision)이다. 언뜻 …  ||  p9: …자체 핵무장, 전술핵 재배치 없이도 북한 핵에 대응할 수 있는 방안이 있다. 본 연구에서는 한국형 핵공유 방안을 중심으로 북핵 고도화에 대응하는 전 략을 모색한다. 그동안 미국은 한측이 제기하는 확…",,,,draft,매핑: 2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용
gq-012,국방 정책 AI 개념설계 연구의 핵심 내용은?,exact_term,medium,pub:kida:65126140b8accf27c4602672371a65e3,국방정책AI개념설계연구,국방정책;AI;개념설계;의사결정,"4,5,3,1","국방정책,AI,의사결정 | 국방정책,AI,의사결정 | AI,의사결정 | 국방정책,AI","p4: …표한 행정명령(Executive Order 13960)에 따라 미 연방정부 기관들이 작성하고 있는 AI 현황(AI Inventory) 가시화 노력의 일부로 볼 수 있다. AI로 해결하고자 하 는 문…  ||  p5: …델 검증, AI 모델 활용, AI 서비스 운영의 6단계로 구성되어 있으며, 본 연구에서 주 로 다루고 있는 단계는 AI 서비스 기획 단계에서 AI 모델 검증까지의 단계이다. 특 히, AI 서비스 기…  ||  p3: …:1 승리로 끝났다. 전 세계적인 관심을 불 러일으킨 알파고 열풍은 국내외 공공부문이나 민간부문의 AI 투자가 증가하게 된 계 기가 되었으며, 2020년 8월에는 미 국방부 산하 연구기관인 DARP…  ||  p1: …연구보고서 데이터 2023-5009 국방정책 AI 개념 설계 연구 심승배 윤병권 조성림 심광신 이은정 송병규 김영도 홍수민 박태현…",,,,draft,매핑: 2023_심승배_국방정책AI개념설계연구
gq-013,DPG(국방기획지침)의 역할과 발전방향은?,exact_term,medium,pub:kida:7780cc97fea95969492632b10b581ca6,국방정책에부합한군사력건설을위한한국의국방기획지침(DPG)발저,DPG;국방기획지침;군사력건설;정책,,,,,,,draft,매핑: 2019_최수동_국방정책에부합한군사력건설을위한한국의국방기획지침(DPG)발저
gq-014,인태지역 주요국 군사력과 전략동향은?,exact_term,medium,pub:kida:d5ea895302069f644442cc44c0dd9eb5,인태지역주요군사력과전략동향,인태지역;군사력;전략동향;미중,"370,1,506,39","군사력,미중 | 인태지역,군사력 | 군사력 | 미중","p370: …덤 포센(Adam Posen) 소장은 2023년 3월 Foreign Affairs에 기고한 글에서 미중 세계패권경쟁 에 더해 신흥국 부상과 경합국가(swing states) 발흥으로 다중 권력경쟁시…  ||  p1: …2023. 11. 연구보고서 안보2023-4964 ISBN 97859788 인태지역 주요 군사력과 전략 동향 이상국 권보람 김기범 김두승 노인규 두진호 유지훈 이수훈 이영학 이중구 장혜진 전재우 최…  ||  p506: … 최고의 군사지도기관으로서 당의 군사노선과 정책을 관철 하기 위한 대책을 토의, 결정하고, 북한의 군사력 강화와 군수공업 발전 등 군사 분야 전반을 지도하는 기관572) (2021년 당규약을 개정하…  ||  p39: …국의 아태지역 재균형정책과 한반도 안 보』. 서울: KIDA Press. 이유진. (2022). 『미중 무역전쟁 4년 경과 및 전망: 양국 무역비중 및 탈동조 화 검토』. KITA Trade Rep…",,,,draft,매핑: 2023_이상국_인태지역주요군사력과전략동향
