case_id,prior_case_id,query_slice,question,relevant_publication_ids,relevant_pages,relevance_grade,reviewed_by,decision_basis,notes
gq-003,KW003,exact_term,MUM-T(유무인복합체계)란 무엇인가?,pub:kida:780ab1feb626e0554a8e217b5547378f,2,3,Daehyun Yoo,"batch:strong-proposal(cov=0.89,top1)","매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고 | 질문에 답이 괄호로 노출된 정의형. 검색 과제로는 유효하나 난이도가 낮음 | 미확정 후보 페이지: 3,4"
gq-006,KW006,exact_term,RSF(Readiness Support Framework) 전략이란?,pub:kida:a0c8315faf322595981c996721376447,2,3,Daehyun Yoo,"batch:strong-proposal(cov=0.50,top1)","매핑: 2024_김진호_미군의RSF전략에대응하는국방MRO발전방향 | 미확정 후보 페이지: 6,3"
gq-007,KW007,exact_term,DIU(국방혁신단)의 역할은?,pub:kida:780ab1feb626e0554a8e217b5547378f,5,3,Daehyun Yoo,"batch:strong-proposal(cov=0.50,top1)","매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고 | 미확정 후보 페이지: 10,4"
gq-008,KW008,exact_term,ROTC 지원율 하락의 주요 요인은?,pub:kida:3dda090e139e908b38cff02744e21253,2,3,Daehyun Yoo,"batch:strong-proposal(cov=0.55,top1)","매핑: 2024_김영곤_학군장교(ROTC)지원율하락요인과개선방안 | 미확정 후보 페이지: 3,11"
gq-010,KW010,exact_term,정밀유도포탄(PGM)의 세계적 현황은?,pub:kida:13355fff22fba242157600fc3c169540,5,3,Daehyun Yoo,"batch:strong-proposal(cov=0.40,top1)","매핑: 2024_김종국_정밀유도포탄의세계적현황및적정소요량설정방향 | 미확정 후보 페이지: 7,8"
gq-011,KW011,exact_term,북한 핵고도화 대응을 위한 한국형 핵공유 옵션이란?,pub:kida:ff51af852bf7909c8d5d5c99c6089b3f,27,3,Daehyun Yoo,"batch:strong-proposal(cov=0.50,top1)","매핑: 2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용 | 미확정 후보 페이지: 9,14"
gq-012,KW012,exact_term,국방 정책 AI 개념설계 연구의 핵심 내용은?,pub:kida:65126140b8accf27c4602672371a65e3,4,3,Daehyun Yoo,"batch:strong-proposal(cov=0.80,top1)","매핑: 2023_심승배_국방정책AI개념설계연구 | 미확정 후보 페이지: 5,3"
gq-016,SR001,concept,인공지능이 군 인사 선발에 어떻게 활용될 수 있는가?,pub:kida:141e602a103e76d68efee4780087cc13,3,3,Daehyun Yoo,"batch:strong-proposal(cov=0.56,top1)","매핑: 2024_곽지희_초급간부선발시AI면접의발전방향 | 미확정 후보 페이지: 2,4"
gq-017,SR002,concept,드론과 로봇이 미래 전장에서 어떤 역할을 할 것인가?,pub:kida:780ab1feb626e0554a8e217b5547378f,2,3,Daehyun Yoo,"batch:strong-proposal(cov=0.50,top1)","매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고 | 미확정 후보 페이지: 3,6"
gq-019,SR004,concept,군 조직에서 스트레스 관리가 중요한 이유는?,pub:kida:d70a63c982c5d278d3e8700d5f977fca,3,3,Daehyun Yoo,"batch:strong-proposal(cov=0.50,top1)","매핑: 2024_박지연_군의스트레스관리방안에대한제언-스트레스마인드셋을중심으로 | 미확정 후보 페이지: 10,5"
