case_id,prior_case_id,query_slice,question,relevant_publication_ids,answer_grounding,question_verdict,revised_question,reviewed_by,decision_basis,notes
gq-003,KW003,exact_term,MUM-T(유무인복합체계)란 무엇인가?,pub:kida:780ab1feb626e0554a8e217b5547378f,1.00,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고 | 질문에 답이 괄호로 노출된 정의형. 검색 과제로는 유효하나 난이도가 낮음
gq-006,KW006,exact_term,RSF(Readiness Support Framework) 전략이란?,pub:kida:a0c8315faf322595981c996721376447,0.75,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2024_김진호_미군의RSF전략에대응하는국방MRO발전방향
gq-007,KW007,exact_term,DIU(국방혁신단)의 역할은?,pub:kida:780ab1feb626e0554a8e217b5547378f,0.83,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
gq-008,KW008,exact_term,ROTC 지원율 하락의 주요 요인은?,pub:kida:3dda090e139e908b38cff02744e21253,0.73,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2024_김영곤_학군장교(ROTC)지원율하락요인과개선방안
gq-010,KW010,exact_term,정밀유도포탄(PGM)의 세계적 현황은?,pub:kida:13355fff22fba242157600fc3c169540,0.80,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2024_김종국_정밀유도포탄의세계적현황및적정소요량설정방향
gq-011,KW011,exact_term,북한 핵고도화 대응을 위한 한국형 핵공유 옵션이란?,pub:kida:ff51af852bf7909c8d5d5c99c6089b3f,1.00,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용
gq-012,KW012,exact_term,국방 정책 AI 개념설계 연구의 핵심 내용은?,pub:kida:65126140b8accf27c4602672371a65e3,0.90,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2023_심승배_국방정책AI개념설계연구
gq-014,KW014,exact_term,인태지역 주요국 군사력과 전략동향은?,pub:kida:d5ea895302069f644442cc44c0dd9eb5,0.56,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2023_이상국_인태지역주요군사력과전략동향
gq-016,SR001,concept,인공지능이 군 인사 선발에 어떻게 활용될 수 있는가?,pub:kida:141e602a103e76d68efee4780087cc13,0.78,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2024_곽지희_초급간부선발시AI면접의발전방향
gq-017,SR002,concept,드론과 로봇이 미래 전장에서 어떤 역할을 할 것인가?,pub:kida:780ab1feb626e0554a8e217b5547378f,0.75,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
gq-018,SR003,concept,현대전에서 민간 기술의 군사적 활용 사례는?,pub:kida:035182e3c76ed3b460b222be0dcc2673,0.79,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2024_유기현_2개의전쟁무엇을배울것인가
gq-019,SR004,concept,군 조직에서 스트레스 관리가 중요한 이유는?,pub:kida:d70a63c982c5d278d3e8700d5f977fca,0.78,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2024_박지연_군의스트레스관리방안에대한제언-스트레스마인드셋을중심으로
gq-020,SR005,concept,기후변화가 군사 작전에 미치는 영향은?,pub:kida:56645b2a20d711920e05b65748039d97,0.85,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2024_이남석_기후변화와전투준비태세-선진국의대응과시사점
gq-021,SR006,concept,국방 분야에서 지속가능성이 왜 중요한가?,pub:kida:4d90e7b6566afd03b37ee24bb662cf25,0.50,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2024_나상욱_국방부문의지속가능성(Sustainability)및에너지효율성향상정책검토
gq-022,SR007,concept,전시에 군수물자를 안정적으로 공급하는 방법은?,pub:kida:60b7c6f64ff31abb2907a468d3e4da00,0.70,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2024_권남연_전시우리군성과기반군수지원의지속지원성향상을위한발전
gq-023,SR008,concept,사이버 보안 인력 양성의 어려움은?,pub:kida:cb834625898e6eafe83599beaaee859c,0.69,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2024_김성태_국방사이버전문인력의전문성판단개선방안
gq-025,SR010,concept,젊은 세대의 군 기피 현상 해결 방안은?,pub:kida:e76f9384a52ef3808c8bd69909e01a52,0.90,accept,,Daehyun Yoo,batch:audit-unflagged,매핑: 2024_권현진_군간부획득영향요인과정책효과에대한인식
