case_id,prior_case_id,query_slice,question,expected_evidence,relevant_publication_ids,document_title,page_count,proposed_pages,proposal_coverage,proposal_confidence,proposed_page_text,relevant_pages,relevance_grade,reviewed_by,decision_basis,notes
gq-003,KW003,exact_term,MUM-T(유무인복합체계)란 무엇인가?,MUM-T는 유인-무인 시스템이 협력하여 작전을 수행하는 미래 전투체계,pub:kida:780ab1feb626e0554a8e217b5547378f,유무인복합체계(MUM-T)발전방향에대한소고,12,"2,3,4",0.89,strong,"p2: KIDA D efense Issues & Analyses - 정보화, 디지털 기술의 빠른 변화와 혁신적인 발전, 21세기 현대 사회는 그 어느 때보다 빠르게 변화하고 있다. 첨단 기술을 기반으로 하는 4차 산업혁명 시대에 군사 환경과 전투체계 또한 변화 의 중심에 서 있다. 그중 인간과 무인 시스템이 협력하여 작전을 수행하는 형태의 유・무인복합체 계(MUM-T)1)는 중요성과 활용 가능성에서…  ||  p3: KIDA Defense Issues & Analyses - 정보를 제공해주게 되면 헬기의 생존율을 높일 수 있고 더 빠르게 적을 선제타격할 수 있다. 2001년 9.11 테러 발생 이후 시작된 미국-아프가니스탄 전쟁에서 무인기 MQ-1 Predator는 헬 파이어 미사일로 적을 공격하고 정찰용 무인기로서 영상을 전송하여 지형을 파악하고 표적 획득 에 큰 역할을 하게 된다. 최근에는 우크라이나…  ||  p4: KIDA D efense Issues & Analyses - LOI 4 수준에 이른다. <표 1> STANAG 4586 상호운용성 수준(LOI, Levels of Interoperability) 레벨 성능 LOI 1 유인기에서 무인기 관련 데이터/메타데이터의 간접적인 송・수신 LOI 2 유인기에서 무인기 관련 데이터/메타데이터의 직접적인 송・수신 LOI 3 유인기에서 무인기에 탑재된 임무장비…",,,,(decided),매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고 | 질문에 답이 괄호로 노출된 정의형. 검색 과제로는 유효하나 난이도가 낮음
gq-006,KW006,exact_term,RSF(Readiness Support Framework) 전략이란?,RSF는 미군의 군수지원 준비태세 프레임워크로 MRO 효율화 전략,pub:kida:a0c8315faf322595981c996721376447,미군의RSF전략에대응하는국방MRO발전방향,14,"2,6,3",0.50,strong,"p2: KIDA Defense Issues & Analyses - 미 국방부는 2024년 1월에 발표한 NDIS(National Defense Industrial Strategy, 국가방위산업전 략)에서 러시아-우크라이나 전쟁으로 드러난 미국 내 제조업과 국제 공급망의 열악함을 지적하며, 이를 개선하기 위해 동맹 및 산업파트너와의 적극적인 협력을 강조하였다. 그리고 이와 관련한 노력으로 동맹과 경제…  ||  p6: KIDA Defense Issues & Analyses - RSF 시범사업 사례 - 호주 미 국방부는 2024 회계연도 국방수권법(FY2024 National Defense Authorization Act)8) Section 842에 의거한 의회의 지시로 3년간 RSF 시범사업을 실시하게 되었다. 미 국방부는 3년 후 ‘지역 지속지원 전략(Regional Sustainment Strategy…  ||  p3: KIDA Defense Issues & Analyses - 원전략에 따라 지원받을 수 있게 고안된 것이다. RSF는 전 세계에 분산된 역량 네트 워크를 활용하여 작전 지역에 신속하게 MRO를 지원할 수 있도록 전력을 강화하는 것으 로, 이를 위해서는 <그림 1> 과 같이 현재 분산된 각 주체 (국방부・군, 미 산업체, 동맹 국 및 업체)의 역량을 결집시 키는 노력이 필요하다. 미 국방부는 R…",,,,(decided),매핑: 2024_김진호_미군의RSF전략에대응하는국방MRO발전방향
gq-007,KW007,exact_term,DIU(국방혁신단)의 역할은?,DIU는 미국 국방부 산하 기관으로 스타트업 기술을 군에 빠르게 도입하는 혁신 조직,pub:kida:780ab1feb626e0554a8e217b5547378f,유무인복합체계(MUM-T)발전방향에대한소고,12,"5,10,4",0.50,strong,"p5: KIDA Defense Issues & Analyses - 업이 수익을 얻을 수 있도록 지원하고 STTR9) 프로그램으로 중소기업과 연구기관을 연결하여 기술이전을 통해 기초연구의 성과를 사업화시키는 역할을 하고 있다. <표 2> 미국 국방부의 1, 2, 3차 상쇄전략10) 구분 1차 상쇄전략 2차 상쇄전략 3차 상쇄전략 시기 1950년대 초반 ~ 1970년대 중반 1970년대 중반 ~ 200…  ||  p10: KIDA D efense Issues & Analyses - 또한, MUM-T 도입 시 LOI 수준에 따라 기존 유인기 조종사에게 무인기 조종 등 추가적인 업무 가 발생하게 되므로 이러한 워크로드를 경감시켜줄 수 있는 AI기반 자율화 기술의 도입 및 확보 가 필요하다. 다수 무인기를 동시에 운용할 수 있는 AI기반 자율군집비행 및 임무할당 기술, 조종 사 명령 기반 지휘결심지원체계 개발 기술…  ||  p4: KIDA D efense Issues & Analyses - LOI 4 수준에 이른다. <표 1> STANAG 4586 상호운용성 수준(LOI, Levels of Interoperability) 레벨 성능 LOI 1 유인기에서 무인기 관련 데이터/메타데이터의 간접적인 송・수신 LOI 2 유인기에서 무인기 관련 데이터/메타데이터의 직접적인 송・수신 LOI 3 유인기에서 무인기에 탑재된 임무장비…",,,,(decided),매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
gq-008,KW008,exact_term,ROTC 지원율 하락의 주요 요인은?,"ROTC 지원율 하락 요인으로는 군 복무 기피 현상, 취업시장 변화, 처우 문제 등",pub:kida:3dda090e139e908b38cff02744e21253,학군장교(ROTC)지원율하락요인과개선방안,12,"2,3,11",0.55,strong,"p2: KIDA D efense Issues & Analyses - 마치 방패와 성처럼 나라를 지킨다고 해서 나라의 간성(干城)으로 불리는 장교는 일선 병사들 과 부사관을 지휘 감독하는 군 인력운영의 중추이다. 하지만 최근 들어 저출산 고령화로 인한 인구구조의 변화와 MZ세대 청년층의 의식 변화 등으로 장교 인력의 획득 상황이 지속적으로 악 화되고 있다. 특히, 학군장교(ROTC)는 육군 기준 초급…  ||  p3: KIDA Defense Issues & Analyses - 로 하여금 부정적 이미지 프레이 밍을 형성하게끔 하여 초급장교로 복무를 꺼리게 하는 악순환을 반 복하고 있는 실정이다. 관련 선행연구 검토 및 학군 후 보생, 대학 재학생 대상 인터뷰 결 과, 학군 후보생 활동 및 학군장교 복무에 수반되는 다양한 장해요인 이 학군장교 지원율 저하에 유의 미한 영향을 미치고 있는 것으로 지적되고 있었다…  ||  p11: KIDA Defense Issues & Analyses ※ 본지에 실린 내용은 집필자의 개인적 의견이며, 본 연구원의 공식적 견해가 아님을 밝힙니다. 최근호 및 차호 소개 제1973호(12월29일) 제1974호( 1월 5일) 제1975호( 1월15일) 제1976호( 1월22일) 김규현, 군 간부 징계제도 진단과 개선을 위한 제언 홍석수・이현재・김리아, 국방 전력운영사업 사전타당성 검토 발전방…",,,,(decided),매핑: 2024_김영곤_학군장교(ROTC)지원율하락요인과개선방안
gq-010,KW010,exact_term,정밀유도포탄(PGM)의 세계적 현황은?,"정밀유도포탄은 GPS/INS 유도 방식이 주류이며, 미국 엑스칼리버 등이 대표적",pub:kida:13355fff22fba242157600fc3c169540,정밀유도포탄의세계적현황및적정소요량설정방향,12,"5,7,8",0.40,strong,"p5: KIDA Defense Issues & Analyses - 진화적 개념을 적용하여 기본탄을 개발 후 개량형 개발을 후속으로 추진하고 있다. 미 육군은 단일 탄두를 Increment 1, 스마트 탄을 Increment 2, 복잡한 도시지형(탐지, 식별, 교전 각기 수행 요구) 적용탄을 Increment 3로 사업을 개편하고, 2007년 4월 Increment 1a-1을 생산 배치하기 시작하였으…  ||  p7: KIDA Defense Issues & Analyses - 구분 M982 Excalibur(1b) LRLAP MS-SGP Volcano Krasnopol 개발국가 (개발사) 미국 Raytheon 미국 BAE/LM 미국 BAE 이태리 Leonardo, 독일 Diehl Defense 러시아 개발현황/ 운용현황 개발완료 초도양산 완료, 양산계획 없음 개발 중 개발완료, 생산은 불분명 개발 중 운용…  ||  p8: KIDA Defense Issues & Analyses - 효과측면에서 획득이 부적합한 것으로 평가되어 LRLAP 양산사업을 취소한 바 있다. 우리 군이 추진하고 있는 정밀유도포탄 개발도 세계적인 발전추세를 반영하여야 한다. 먼저 유도 방식은 복합유도 방식으로 개발하되 단계적으로 이동표적에 대응할 수 있는 종말유도 방식도 개발 하여야 한다. GPS 방식은 방해나 기만에 취약하므로 이에 대한 …",,,,(decided),매핑: 2024_김종국_정밀유도포탄의세계적현황및적정소요량설정방향
gq-011,KW011,exact_term,북한 핵고도화 대응을 위한 한국형 핵공유 옵션이란?,"한국형 핵공유는 한미 간 핵전력 운용 협력 강화, NATO 핵공유 모델 참고",pub:kida:ff51af852bf7909c8d5d5c99c6089b3f,북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용,48,"27,9,14",0.50,strong,"p27: III. 워싱턴 선언 범위 내에서 추진 가능한 한국형 핵공유 앞서 서술한 바와 같이 워싱턴 선언으로 핵무장과 전술핵 재배치가 사실상 불 가능해졌으며, 미군의 전략자산 전개 정례화 또는 상시화도 어느 정도 제한이 있 는 대안임이 드러났다. 특히 전략폭격기가 필요시에 ‘날아왔다 돌아가는 방식 (fly-in, fly-out arrangement)’은 그동안 많이 활용한 방안이므로 동맹보장의 새로운…  ||  p9: 요 약 핵무기는 엄청난 파괴력 때문에 정치적인 무기, 절대무기로 불린다. 그래서 핵 에는 핵으로 대응할 수밖에 없다는 논리가 힘을 얻게 된다. 그러나 사실은 그렇 지 않다. 자체 핵무장, 전술핵 재배치 없이도 북한 핵에 대응할 수 있는 방안이 있다. 본 연구에서는 한국형 핵공유 방안을 중심으로 북핵 고도화에 대응하는 전 략을 모색한다. 그동안 미국은 한측이 제기하는 확장억제 신뢰도 강화 이슈…  ||  p14: 언’으로 전술핵 재배치와 핵무장이 원천 봉쇄된 것에 대한 국민적 실망감이 여전 히 존재한다는 것이다. 따라서 ‘워싱턴 선언’에 반하지 않으면서도 확장억제의 신 뢰성과 동맹보장을 강화시킬 수 있는 방안을 모색할 필요가 있다. 본 연구에서는 3축 체제 발전은 주어진 것으로 보고, 추가적으로 억제력을 강 화할 수단으로 ‘한국형 핵공유’4) 방안을 논의함으로써 궁극적으로 북핵 대응전략 을 업그레이드…",,,,(decided),매핑: 2023_부형욱_북핵고도화대응전략구상한국형핵공유옵션과핵협상에의활용
gq-012,KW012,exact_term,국방 정책 AI 개념설계 연구의 핵심 내용은?,"국방 정책 AI는 의사결정 지원, 데이터 분석, 정책 시뮬레이션 등에 AI 활용",pub:kida:65126140b8accf27c4602672371a65e3,국방정책AI개념설계연구,6,"4,5,3",0.80,strong,"p4: 발표한 행정명령(Executive Order 13960)에 따라 미 연방정부 기관들이 작성하고 있는 AI 현황(AI Inventory) 가시화 노력의 일부로 볼 수 있다. AI로 해결하고자 하 는 문제(AI Use Case)를 정의하고, 문제에 적용할 기술을 구체화하고, 소요기획, 연 구개발, 운영 등으로 AI가 적용된 체계(서비스)의 단계를 구분하여 관리하는 개념인 AI Inventory …  ||  p5: 델 검증, AI 모델 활용, AI 서비스 운영의 6단계로 구성되어 있으며, 본 연구에서 주 로 다루고 있는 단계는 AI 서비스 기획 단계에서 AI 모델 검증까지의 단계이다. 특 히, AI 서비스 기획은 앞서 언급한 AI Use Case를 정의하는 활동이며, 국방정책 분 야 의사결정 문제 중에서 AI 기술을 활용하여 접근하는 것이 타당한지 검토하는 것 이 핵심 과업이다. 해당 문제가 AI 기술…  ||  p3: 요 약 2016년 3월 인공지능 바둑 프로그램인 알파고(AlphaGo)와 바둑기사 이세돌 간 대결이 심층강화학습을 장착한 알파고의 4:1 승리로 끝났다. 전 세계적인 관심을 불 러일으킨 알파고 열풍은 국내외 공공부문이나 민간부문의 AI 투자가 증가하게 된 계 기가 되었으며, 2020년 8월에는 미 국방부 산하 연구기관인 DARPA(Defense Advanced Research Projects…",,,,(decided),매핑: 2023_심승배_국방정책AI개념설계연구
gq-016,SR001,concept,인공지능이 군 인사 선발에 어떻게 활용될 수 있는가?,"AI 면접 시스템을 통한 초급간부 선발, 객관적 평가 지원 등",pub:kida:141e602a103e76d68efee4780087cc13,초급간부선발시AI면접의발전방향,11,"3,2,4",0.56,strong,"p3: KIDA D efense Issues & Analyses - <표 1> AI/대면 면접 평가항목 및 배점(2023년 육군 학사사관후보생 선발) 구분 1단계(AI 면접) 2단계(대면면접) 대인관계 기술 및 행동역량 평가 1면접(개인발표/집단토론) 2면접(개별) 평가항목 ■ 확고한 윤리의식 ■ 공감적 소통 ■ 회복 탄력성 ■ 적극적 임무수행 ■ 솔선수범 ■ 군 기본자세 ■ 리더십/상황판단 ■ 국…  ||  p2: KIDA Defense Issues & Analyses - 4차 산업혁명 기술혁신의 중심에 흔히 AI라고 불리는 인공지능 기술의 발전이 있다. AI 기술은 경제, 의료, 법률 등 다양한 분야에서 활용하고 있기 때문에 일상에 스며들어 깊숙이 자리 잡고 있다. 군에서도 지휘통제, 감시정찰 등 AI 기술활용 범위가 넓어졌고, 초급간부 선발에서도 활용 하고 있다. 일례로 AI를 활용한 디지털화된 간…  ||  p4: KIDA Defense Issues & Analyses - 문항 전혀 신뢰하지 않는다 ... 매우 신뢰한다 1) 초급간부 선발평가로써, AI 면접의 신뢰성이 어느 정도라고 생각하십니까? 1 ... 5 2) 초급간부 선발평가로써, 대면면접의 신뢰성이 어느 정도라고 생각하십니까? 1 ... 5 <표 2> ‘AI 면접 도입’ 인식조사에 관한 설문 문항 예시 초급간부 선발 시, AI 면접 활용의 긍…",,,,(decided),매핑: 2024_곽지희_초급간부선발시AI면접의발전방향
gq-017,SR002,concept,드론과 로봇이 미래 전장에서 어떤 역할을 할 것인가?,"무인체계는 정찰, 공격, 물자수송 등 다양한 임무 수행, 유인체계와 협력",pub:kida:780ab1feb626e0554a8e217b5547378f,유무인복합체계(MUM-T)발전방향에대한소고,12,"2,3,6",0.50,strong,"p2: KIDA D efense Issues & Analyses - 정보화, 디지털 기술의 빠른 변화와 혁신적인 발전, 21세기 현대 사회는 그 어느 때보다 빠르게 변화하고 있다. 첨단 기술을 기반으로 하는 4차 산업혁명 시대에 군사 환경과 전투체계 또한 변화 의 중심에 서 있다. 그중 인간과 무인 시스템이 협력하여 작전을 수행하는 형태의 유・무인복합체 계(MUM-T)1)는 중요성과 활용 가능성에서…  ||  p3: KIDA Defense Issues & Analyses - 정보를 제공해주게 되면 헬기의 생존율을 높일 수 있고 더 빠르게 적을 선제타격할 수 있다. 2001년 9.11 테러 발생 이후 시작된 미국-아프가니스탄 전쟁에서 무인기 MQ-1 Predator는 헬 파이어 미사일로 적을 공격하고 정찰용 무인기로서 영상을 전송하여 지형을 파악하고 표적 획득 에 큰 역할을 하게 된다. 최근에는 우크라이나…  ||  p6: KIDA D efense Issues & Analyses - 고 할 수 있다. 최근 2023년 7월, 미국 국방부는 국방과학기술을 통한 경쟁우위 강화를 위한 2023 국방과학기 술전략서(NDSTS)13)를 발표했으며 기술적 우위를 통한 군사적 우위 유지를 위하여 3대 영역의 14개 핵심분야를 선정하여 제시하였다. 기술의 진보와 혁신을 국방부의 우선순위로 두고 있으며, 이를 통한 경쟁우위 강화…",,,,(decided),매핑: 2024_나상욱_유무인복합체계(MUM-T)발전방향에대한소고
gq-019,SR004,concept,군 조직에서 스트레스 관리가 중요한 이유는?,"스트레스 마인드셋이 조직 성과와 전투준비태세에 영향, 예방적 관리 필요",pub:kida:d70a63c982c5d278d3e8700d5f977fca,군의스트레스관리방안에대한제언-스트레스마인드셋을중심으로,12,"3,10,5",0.50,strong,"p3: KIDA Defense Issues & Analyses - 외부의 도움이 필요한 경우로 한정된다는 한계점이 존재한다. 외부의 도움이 시급하게 필요한 정도 는 아니지만, 일상적인 스트레스를 경험하는 대다수 장병의 스트레스 관리를 위한 제도적 장치는 찾기 어렵다. 치료적 관점이 아닌 예방적 관점에서 장병들을 위한 스트레스 관리방안은 장병의 정신건강 및 군의 전투준비 태세를 위해서도 지속해서 관심…  ||  p10: KIDA Defense Issues & Analyses - 환자를 대상으로 수행된 마인드셋 연구에서 훈련을 받은 환자들의 성장적 마인드셋이 유의미하게 증가했으며, 적응적인 대처 행동의 증가와 신체 증상으로 인한 고통의 감소까지 보고된 바 있다 (Zion et al., 2023).12) 이는 심리적 어려움과 더불어 신체적인 어려움을 겪는 집단에서도 심리적 개입을 통해 더욱 적응적인 행동을 유도…  ||  p5: KIDA Defense Issues & Analyses - 스트레스 마인드셋은 두 가지로 나눌 수 있는데, 성장적 스트레스 마인드셋(stress-is-enhancing) 과 퇴보적 스트레스 마인드셋(stress-is-debilitating)이다. 성장적 스트레스 마인드셋은 스트레스를 통해 성장하고 발전할 수 있다는 믿음이고, 퇴보적 스트레스 마인드셋은 스트레스는 신체적・심리적 으로 부정적 영…",,,,(decided),매핑: 2024_박지연_군의스트레스관리방안에대한제언-스트레스마인드셋을중심으로
