publication_id,publication_type,source_filename,filename_bytes,review_reasons,page_count,character_count,suggested_title,suggestion_evidence,suggestion_confidence,cover_page_preview,decision,confirmed_title,reviewer_notes
pub:kida:0962f57ceb068514397d83c3daff15ad,defense_policy_research,2024_박원호_군사훈련으로인한민군갈등해소및협력방안연구상무대훈련장.pdf,253,파일명 240바이트 이상이며 표지 제목 없음,29,29665,군사훈련으로 인한 민군갈등 해소 및 협력 방안 연구,cover_page,0.96,"국방정책연구 2024년 봄(40-1) 통권 제143호 pp. 111-139 http://dx.doi.org/10.22883/jdps.2024.40.1.004 ISSN 1598-6101(print), 2672-1392(online) 군사훈련으로 인한 민군갈등 해소 및 협력 방안 연구: 상무대 훈련장 사례를 중심으로 박원호*1) I. 서론 II. 이론적 고찰 및 선행연구 검토 III. 훈련장 관련 갈등사례 분석 IV. 지역주민과 상무대의 상생협력 방안 V. 결론 Abstract A Study on the Resolution and Cooperation of Civil and Military Conflict in Military Training: Focusing on the case of training site",apporve,군사훈련으로 인한 민군갈등 해소 및 협력 방안 연구,
pub:kida:0a32cc8b0db8b200aa04da079e9bec58,defense_policy_research,2024_이준희_김정일의당에서김정은의당으로조선로동당7기정치국인선변화연ᄀ.pdf,254,파일명이 불완전 한글 자모로 끝나며 표지 제목 없음,57,66354,김정일의 당에서 김정은의 당으로,cover_page,0.96,"국방정책연구 2023년 겨울(39-4) 통권 제142호 pp. 101-157 http://dx.doi.org/10.22883/jdps.2024.39.4.004 ISSN 1598-6101(print), 2672-1392(online) 김정일의 당에서 김정은의 당으로: 조선로동당 7기 정치국 인선변화 연구 이준희*1) I. 서론 II. 조선로동당 7차 당대회에서 선거된 정치국의 구성적 특징 분석 III. 7기 정치국 전반기 인선변동의 특징(2016. 5-2019. 4) IV. 후반기 7기 정치국 인선 변화 분석(2019. 4-2021. 1). V. 분석결과와 함의 Abstract From Kim Jong Il’s Party to Kim Jong Un’s Party: A Study on Changes in Com",apporve,김정일의 당에서 김정은의 당으로,
pub:kida:0d283a21cf7b45ac3daac79f08289ac7,defense_policy_research,2024_최종현_AI국방정보시스템도입시예상되는AI고유보안취약점분석및보안가이드.pdf,254,파일명 240바이트 이상이며 표지 제목 없음,27,32216,AI 국방정보시스템 도입 시 예상되는 AI 고유 보안 취약점 분석 및 보안 가이드라인 연구,cover_page,0.96,"국방정책연구 2024년 가을(40-3) 통권 제145호 pp. 149-175 http://dx.doi.org/10.22883/jdps.2024.40.3.006 ISSN 1598-6101(print), 2672-1392(online) AI 국방정보시스템 도입 시 예상되는 AI 고유 보안 취약점 분석 및 보안 가이드라인 연구 최종현*, 장백철**1) I. 서론 II. 관련 연구 III. AI 보안 취약점 IV. 국방분야 환경을 고려한 AI 보안 취약점 V. 적용 가능한 보안대책 VI. 국방정보시스템 개발공정 단계별 보안활동 가이드라인 VII. 결론 * 제1저자, 공군 대위, 연세대학교 비즈니스 AI 빅데이터 분석과정 석사과정, jh_choi@yonsei.ac.kr ** 교신저자, 연세대학교 정보대학원 정교수, ",apporve,AI 국방정보시스템 도입 시 예상되는 AI 고유 보안 취약점 분석 및 보안 가이드라인 연구,
pub:kida:18228763ab0a9477aba51e8b16b45a9a,defense_policy_research,2025_김재국_미국확장억제와보장의단절나토(NATO)동맹국의보장인식을중심으로.pdf,250,파일명 240바이트 이상이며 표지 제목 없음,36,45152,미국 확장억제와 보장의 단절,cover_page,0.96,"국방정책연구 2025년 봄(41-1) 통권 제147호 pp. 67-102 http://dx.doi.org/10.22883/jdps.2025.41.1.003 ISSN 1598-6101(print), 2672-1392(online) 미국 확장억제와 보장의 단절: 나토(NATO) 동맹국의 보장 인식을 중심으로 1)† 김재국* I. 서론 II. 기존 연구 검토 III. 이론적 논의 IV. NATO 사례 분석(1953~1991) V. 결론: 한국 핵억제전략에의 함의 Abstract The Disconnection Between U.S. Extended Deterrence and Assurance: Focusing on NATO Allies’ Perceptions of Assurance This paper define",apporve,미국 확장억제와 보장의 단절,
pub:kida:189a7e788bf3e35fa16f0a9f1522c69a,defense_policy_research,2024_김신숙_인구감소시기강한국방을위한병역제도설계군인력정책의질적.pdf,253,파일명 240바이트 이상이며 표지 제목 없음,26,30745,인구감소시기 강한 국방을 위한 병역제도 설계,cover_page,0.96,"국방정책연구 2023년 겨울(39-4) 통권 제142호 pp. 7-32 http://dx.doi.org/10.22883/jdps.2024.39.4.001 ISSN 1598-6101(print), 2672-1392(online) 인구감소시기 강한 국방을 위한 병역제도 설계: 군인력 정책의 질적 전환을 위한 제안 김신숙*1) I. 서론 II. 이론적 배경과 선행연구 III. 인구감소가 국방에 미치는 영향 IV. 강한 국방을 위한 군인력 정책 제안 V. 결론 * 정책학 박사, sinsook73@gmail.com Abstract Designing Military Manpower Policies for a Strong Defense in a Time of Demographic Decline This paper exa",apporve,인구감소시기 강한 국방을 위한 병역제도 설계,
pub:kida:2ae605162f06a8a65d4fd3ce643ca26c,defense_policy_research,2025_김민관_북한의대남심리전변화분석2016년대남전단과2024년오물풍선비교를ᄌ.pdf,255,파일명이 불완전 한글 자모로 끝나며 표지 제목 없음,34,32663,북한의 대남 심리전 변화 분석,cover_page,0.96,"국방정책연구 2025년 봄(41-1) 통권 제147호 pp. 7-40 http://dx.doi.org/10.22883/jdps.2025.41.1.001 ISSN 1598-6101(print), 2672-1392(online) 북한의 대남 심리전 변화 분석 : 2016년 대남전단과 2024년 오물풍선 비교를 중심으로 1)2)김민관*, 허재영** I. 서론 II. 선행연구 및 연구 분석틀 III. 대남 인식 변화 : 두 국가 선언을 중심으로 IV. 대남 심리전 성격 변화 V. 결론 Abstract North Korea’s Evolving Psychological Warfare Tactics against South Korea: A Comparative Analysis of the 2016 Propaganda L",apporve,북한의 대남 심리전 변화 분석,
pub:kida:39daa572e2c0256fc93c5e7109f7b938,defense_policy_research,2025_김정혁_한국군의적정상비병력규모에관한연구현대전쟁사례의최소계획ᄇ.pdf,253,파일명이 불완전 한글 자모로 끝나며 표지 제목 없음,33,34160,한국군의 적정 상비병력 규모에 관한 연구,cover_page,0.96,"국방정책연구 2025년 여름(41-2) 통권 제148호 pp. 137-169 http://dx.doi.org/10.22883/jdps.2025.41.2.005 ISSN 1598-6101(print), 2672-1392(online) 한국군의 적정 상비병력 규모에 관한 연구: 현대 전쟁사례의 최소계획비율을 중심으로† 1)2) 김정혁*, 지효근** I. 서론 II. 이론적 고찰과 분석의 틀 III. 현대 전쟁사례 분석 IV. 수리적 분석에 의한 검증 V. 결론 Abstract A Study on the Appropriate Size of the ROK Military’s Standing Force: Focusing on Minimum Planning Ratios in Modern Warfare Cases Thi",apporve,한국군의 적정 상비병력 규모에 관한 연구,
pub:kida:3a9d174c4aa74c88ac1916bc6343bbc0,defense_policy_research,2024_류인석_닉슨-포드행정부의한국군현대화정책고찰한반도에서의이중억제저.pdf,254,파일명 240바이트 이상이며 표지 제목 없음,31,38874,닉슨-포드 행정부의 한국군 현대화 정책 고찰,cover_page,0.96,"국방정책연구 2024년 가을(40-3) 통권 제145호 pp. 31-61 http://dx.doi.org/10.22883/jdps.2024.40.3.002 ISSN 1598-6101(print), 2672-1392(online) 닉슨-포드 행정부의 한국군 현대화 정책 고찰: 한반도에서의 ‘이중억제’ 전략의 맥락에서 류인석*1) I. 서론 II. 이론적 검토 III. 닉슨 행정부 이전 대한(對韓) 군원정책 IV. 닉슨-포드 행정부의 한국군 현대화 정책 V. 결론 및 함의 Abstract Evaluation of the Nixon-Ford Administration’s Korean Force Modernization Policy: In the Context of the ‘Dual Deterrence’ Strat",apporve,닉슨-포드 행정부의 한국군 현대화 정책 고찰,
pub:kida:40b2d3f025cc55b4bd4c53137ceb75f8,defense_policy_research,2026_김강현_군직무별인력활용을위한신분판단기준연구공무직근로자와미.pdf,253,파일명 240바이트 이상이며 표지 제목 없음,37,39859,군 직무별 인력 활용을 위한 신분 판단기준 연구,cover_page,0.96,"국방정책연구 2025년 겨울(41-4) 통권 제150호 pp. 179-215 http://dx.doi.org/10.22883/jdps.2026.41.4.006 ISSN 1598-6101(print), 2672-1392(online) 군 직무별 인력 활용을 위한 신분 판단기준 연구: 공무직근로자와 민간위탁을 중심으로 한 신분 활용 결정모델 1)† 2)3)4)김강현*, 김리아**, 홍석수*** I. 서론 II. 이론적 배경 및 주요 사례 검토 III. 연구방법 IV. 연구결과 V. 모델 적용 및 사례분석 VI. 결론 및 제언 Abstract A Study on Personnel Deployment Criteria for Military Tasks: A Decision-making Model Focusing on",apporve,군 직무별 인력 활용을 위한 신분 판단기준 연구,
pub:kida:458269e066a2965f890723265516cc3d,defense_policy_research,2025_이현엽_육군간부들의스트레스유형분석및자살행동과우울증과의관련성ᄋ.pdf,253,파일명이 불완전 한글 자모로 끝나며 표지 제목 없음,40,51050,육군 간부들의 스트레스 유형 분석 및 자살 행동과 우울증과의 관련성 연구,cover_page,0.96,"국방정책연구 2025년 봄(41-1) 통권 제147호 pp. 131-170 http://dx.doi.org/10.22883/jdps.2025.41.1.005 ISSN 1598-6101(print), 2672-1392(online) 육군 간부들의 스트레스 유형 분석 및 자살 행동과 우울증과의 관련성 연구† 1)2)3)4)이현엽*, 현승주**, 최윤영***, 기호연****, 강성록***** I. 서론 II. 이론적 배경 및 연구 목적 III. 연구 방법 IV. 연구 결과 V. 논의 Abstract Dimensionality of the military stress and their associations with suicidal behaviors and depression among the ROK Army of",apporve,육군 간부들의 스트레스 유형 분석 및 자살 행동과 우울증과의 관련성 연구,
